grade,titleScore,overviewScore,ratingScore,comment:# <docid> kewyords@movietitle
4,10.65,8.41,7.40,# 1366   rocky@Rocky
3,0.00,6.75,7.00,# 12412  rocky@Creed
3,8.22,9.72,6.60,# 1246   rocky@Rocky Balboa
3,8.22,8.41,0.00,# 1374   rocky@Rocky IV
3,8.22,7.68,6.90,# 1367   rocky@Rocky II
3,8.22,7.15,0.00,# 1375   rocky@Rocky V
3,8.22,5.28,0.00,# 1371   rocky@Rocky III
3,4.94,7.15,0.00,# 81830  rocky@The Rocky Saga: Going the Distance
2,0.00,0.00,7.60,# 154019 rocky@Belarmino
2,0.00,0.00,7.10,# 1368   rocky@First Blood
2,0.00,0.00,6.70,# 13258  rocky@Son of Rambow
2,0.00,0.00,0.00,# 70808  rocky@Klitschko
2,0.00,0.00,0.00,# 64807  rocky@Grudge Match
2,0.00,0.00,0.00,# 47059  rocky@Boxing Gym
2,0.00,0.00,0.00,# 253295 rocky@Manny
2,0.00,0.00,0.00,# 23916  rocky@Paradise Alley
2,0.00,0.00,0.00,# 22913  rocky@24 7: Twenty Four Seven
2,0.00,0.00,0.00,# 1370   rocky@Rambo III
2,0.00,0.00,0.00,# 1369   rocky@Rambo: First Blood Part II
1,0.00,0.00,6.60,# 59584  rocky@Mr. Moto's Gamble
1,0.00,0.00,0.00,# 9876   rocky@Stop! Or My Mom Will Shoot
1,0.00,0.00,0.00,# 38925  rocky@The Lords of Flatbush
1,0.00,0.00,0.00,# 351862 rocky@Blue Blood
1,0.00,0.00,0.00,# 31362  rocky@In the Line of Duty: The F.B.I. Murders
1,0.00,0.00,0.00,# 288183 rocky@A Hole in the Soul
1,0.00,0.00,0.00,# 19143  rocky@Diggstown
1,0.00,0.00,0.00,# 1825   rocky@Over the Top
1,0.00,0.00,0.00,# 16219  rocky@Gladiator
0,0.00,0.00,8.00,# 901    rocky@City Lights
0,0.00,0.00,7.20,# 159002 rocky@Cutie and the Boxer
0,0.00,0.00,7.00,# 61410  rocky@Spud
0,0.00,0.00,0.00,# 98136  rocky@Hit Lady
0,0.00,0.00,0.00,# 55146  rocky@Hearts and Minds
0,0.00,0.00,0.00,# 5203   rocky@Wild Orchid
0,0.00,0.00,0.00,# 318040 rocky@Bizarre
0,0.00,0.00,0.00,# 27578  rocky@The Expendables
0,0.00,0.00,0.00,# 21610  rocky@Nighthawks
0,0.00,0.00,0.00,# 18215  rocky@Boxing Helena
0,0.00,0.00,0.00,# 11228  rocky@Daylight
0,0.00,0.00,0.00,# 10805  rocky@Staying Alive
